Date,Title,Publisher,Description,Link
01/01/2023,Elon Musk becomes first person to lose $200 billion: report,FOX 5 Atlanta,https://www.fox5atlanta.com/news/elon-musk-becomes-first-person-to-lose-200-billion-report,"Here's a look back at some of the notable business ventures by Elon Musk, who has quickly risen in the ranks of the wealthiest men in the world. Tesla CEO and..."
01/01/2023,Elon Musk becomes first person ever to lose $200 billion,The Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/elon-musk-becomes-first-person-ever-to-lose-200-billion/articleshow/96663303.cms,"Elon Musk was the second person ever to amass a personal fortune of more than $200 billion, breaching that threshold in January 2021, months after Jeff..."
01/01/2023,Elon Musk becomes first person in history to lose $200b,Vanguard News,https://www.vanguardngr.com/2023/01/elon-musk-becomes-first-person-in-history-to-lose-200b/,"Billionaire Elon Musk, formerly the richest man in the world, has broken a new record as the first person in history to lose $200 billion."
01/01/2023,Twitter sued for not paying rent on San Francisco HQ since Elon Musk takeover,New York Post,https://nypost.com/2023/01/01/twitter-sued-for-not-paying-rent-on-san-francisco-hq-since-elon-musk-takeover/,"... ducking out on rent for its downtown San Francisco headquarters, where the platform reportedly went through heavy cost-cutting under new CEO Elon Musk."
01/01/2023,"Slumping revenue, Tesla woes and a ‘resignation’: Musk’s wild reign at Twitter so far",The Guardian,https://www.theguardian.com/technology/2023/jan/01/revenue-tesla-elon-musks-twitter-staff-investors,"When Elon Musk walked into Twitter's offices on 26 October carrying a sink, one day before he bought the platform for $44bn (£38bn), it was the first sign..."
01/01/2023,"Elon Musk, the social media autocrat",Al Jazeera,https://www.aljazeera.com/opinions/2023/1/1/2022-gave-us-a-new-social-media-autocrat,"Elon Musk, the social media autocrat. In embracing dictatorial tactics, Musk is making the same mistakes many tyrants made before him."
01/01/2023,4 Reasons Tesla Stock Could Hit $50: Elon Musk's Twitter Is ...,Forbes,https://www.forbes.com/sites/petercohan/2023/01/01/4-reasons-tesla-stock-could-hit-50-elon-muskss-twitter-is-first/,Its CEO Elon Musk appealed greatly to Tesla customers who wanted to show off their wealth while appearing woke. Since mid-April 2022 when Musk announced his...
01/01/2023,Elon Musk Confirms Era Of The Everything CEO,TheStreet,https://www.thestreet.com/technology/elon-musk-confirms-era-of-the-everything-ceo,"In 2021, Time Magazine voted Elon Musk Person of the Year. ... 2022 belonged to Musk, the CEO or founder of at least five major companies: Tesla (TSLA)..."
01/01/2023,Elon Musk mocks Andrew Tate's legal plight: Sometimes it's just better to make pizza at home,Marca,https://www.marca.com/en/lifestyle/celebrities/2023/01/01/63b195db22601d34778b4595.html,Elon Musk mocks Andrew Tate's legal plight: Sometimes it's just better to make pizza at home. Misogynistic media personality landed himself in prison with a...
01/01/2023,Joe Rogan reacts to banned Elon Musk jet tracking account: 'It's definitely weird',New York Post,https://nypost.com/2023/01/01/joe-rogan-reacts-to-banned-elon-musk-jet-tracking-account-its-definitely-weird/,Joe Rogan gave his take this week on Twitter CEO Elon Musk's recent controversial decision to permanently suspend an account created by college student Jack...
